Organism,Lineage
Arabidopsis thaliana,"Arabidopsis, Camelineae, Brassicaceae, Brassicales, malvids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Dictyostelium discoideum,"Dictyostelium, Dictyosteliaceae, Dictyosteliales, Dictyostelia, Eumycetozoa, Evosea, Amoebozoa, Eukaryota, cellular organisms"
Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),"Methanocaldococcus, Methanocaldococcaceae, Methanococcales, Methanococci, Methanomada group, Euryarchaeota, Archaea, cellular organisms"
Bacillus subtilis (strain 168),"Bacillus subtilis group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Anopheles albimanus,"albimanus series, albimanus section, Nyssorhynchus, Anopheles, Anophelinae, Culicidae, Culicoidea, Culicomorpha, Nematocera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Homo sapiens,"Homo, Homininae, Hominidae, Hominoidea, Catarrhini, Simiiformes, Haplorrhini, Primates, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Parasynechococcus marenigrum (strain WH8102),"Parasynechococcus marenigrum, Parasynechococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1),"Thermotoga, Thermotogaceae, Thermotogales, Thermotogae, Thermotogae, Bacteria, cellular organisms"
Escherichia coli (strain K12),"Escherichia, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Schizosaccharomyces pombe (strain 972 / ATCC 24843),"Schizosaccharomyces, Schizosaccharomycetaceae, Schizosaccharomycetales, Schizosaccharomycetes, Taphrinomycotina, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Dickeya chrysanthemi,"Dickeya, Pectobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Proteus mirabilis,"Proteus, Morganellaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Mus musculus,"Mus musculus, Mus, Mus, Murinae, Muridae, Muroidea, Myomorpha, Rodentia, Glires, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Bos taurus,"Bos, Bovinae, Bovidae, Pecora, Ruminantia, Artiodactyla, Laurasiatheria, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Saccharomyces, Saccharomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Caenorhabditis elegans,"Caenorhabditis, Peloderinae, Rhabditidae, Rhabditoidea, Rhabditomorpha, Rhabditina, Rhabditida, Chromadorea, Nematoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Rattus norvegicus,"Rattus, Murinae, Muridae, Muroidea, Myomorpha, Rodentia, Glires, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Oryza sativa subsp. japonica,"Oryza sativa, Oryza, Oryzinae, Oryzeae, Oryzoideae, BOP clade, Poaceae, Poales, commelinids, Petrosaviidae, Liliopsida, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Magnetospirillum magneticum (strain AMB-1 / ATCC 700264),"Magnetospirillum, Rhodospirillaceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Mycoplasma pneumoniae (strain ATCC 29342 / M129),"Mycoplasma, Mycoplasmataceae, Mycoplasmatales, Mollicutes, Tenericutes, Terrabacteria group, Bacteria, cellular organisms"
Rhizobium meliloti (strain 1021),"Sinorhizobium, Sinorhizobium/Ensifer group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
