,Organism
0,Homo sapiens (Human)
2,Methanococcus voltae
5,Danio rerio (Zebrafish) (Brachydanio rerio)
7,Mus musculus (Mouse)
8,Rattus norvegicus (Rat)
12,Arabidopsis thaliana (Mouse-ear cress)
13,Chlamydomonas reinhardtii (Chlamydomonas smithii)
14,Oryza sativa subsp. japonica (Rice)
15,Thraustochytrium sp.
16,Glycine max (Soybean) (Glycine hispida)
17,Euglena viridis (Cercaria viridis)
18,Euglena myxocylindracea
20,Drosophila melanogaster (Fruit fly)
21,Dictyostelium discoideum (Slime mold)
22,Caenorhabditis elegans
32,Canis lupus familiaris (Dog) (Canis familiaris)
33,Gibberella fujikuroi (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)
35,Escherichia coli O157:H7
41,Salmonella typhi
42,Yersinia pestis
45,Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)
46,Gallus gallus (Chicken)
47,Oryzias latipes (Japanese rice fish) (Japanese killifish)
48,Leucoraja erinacea (Little skate) (Raja erinacea)
51,Xenopus laevis (African clawed frog)
57,Komagataella pastoris (Yeast) (Pichia pastoris)
58,Schizophyllum commune (Split gill fungus)
62,Rhizobium leguminosarum bv. trifolii
63,Streptomyces antibioticus
65,Bacillus cereus
66,Staphylococcus xylosus
67,Pisum sativum (Garden pea)
68,Hyaloraphidium curvatum (Lower fungus)
69,Bos taurus (Bovine)
70,Ovis aries (Sheep)
71,Sus scrofa (Pig)
72,Episoriculus fumidus (Taiwan brown-toothed shrew) (Soriculus fumidus)
73,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
74,Pan troglodytes (Chimpanzee)
75,Asterias rubens (Common European starfish) (Asterias vulgaris)
76,Culex pipiens (House mosquito)
91,Gamma-proteobacterium Hot 75m4
92,Klebsiella pneumoniae
93,Cereibacter sphaeroides (Rhodobacter sphaeroides)
95,Fusarium sporotrichioides
102,Pseudomonas stutzeri (Pseudomonas perfectomarina)
104,Escherichia coli
106,Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)
107,Bdellovibrio phage phiMH2K (Bacteriophage phiMH2K)
108,Myxine glutinosa (Atlantic hagfish)
109,Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)
110,Plasmodium berghei
111,Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)
115,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
120,Chlamydia pneumoniae (Chlamydophila pneumoniae)
124,Enterococcus faecalis (Streptococcus faecalis)
126,Pseudomonas syringae pv. actinidiae
127,Zea mays (Maize)
128,Bombyx mori (Silk moth)
129,Cochliomyia hominivorax (Primary screw-worm) (Lucilia hominivorax)
130,Arbacia lixula (Black urchin) (Echinus lixula)
131,Limulus polyphemus (Atlantic horseshoe crab)
132,Lepocinclis buetschlii
133,Phacus acuminatus
134,Oenothera elata subsp. hookeri (Hooker's evening primrose) (Oenothera hookeri)
135,Mesostigma viride (Green alga)
136,Equus caballus (Horse)
137,Ceratitis capitata (Mediterranean fruit fly) (Tephritis capitata)
138,Candida albicans (Yeast)
146,Cavia porcellus (Guinea pig)
148,Pseudomonas oleovorans
149,Thermus thermophilus
151,Lactobacillus casei
153,Bacillus anthracis
155,Neisseria gonorrhoeae
158,Volvox carteri (Green alga)
159,Haematococcus lacustris (Green alga) (Haematococcus pluvialis)
160,Glycyrrhiza echinata (Licorice)
161,Prototheca wickerhamii
162,Nephroselmis olivacea (Green alga)
163,Cyanidium caldarium (Red alga)
164,Plasmodium falciparum (isolate 3D7)
166,Coprinus comatus (Shaggy mane)
170,Pseudomonas putida (Arthrobacter siderocapsulatus)
171,Komagataeibacter xylinus (Gluconacetobacter xylinus)
174,Enterococcus faecium (Streptococcus faecium)
175,Rhizobium leguminosarum bv. viciae
178,Pseudoalteromonas phage PM2 (Bacteriophage PM2)
179,Chelonia mydas (Green sea-turtle) (Chelonia agassizi)
180,Toxoplasma gondii
181,Mortierella alpina (Oleaginous fungus) (Mortierella renispora)
191,Salmonella typhimurium
193,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
194,Papio hamadryas (Hamadryas baboon)
195,Fusarium heterosporum
