,UniprotID,GeneName,Schirmer_2003,Korfali_2010,Wilkie_2010,Korfali_2012,Korfali_2012_NE:MM-ratio,Cheng_2019,Cheng_2019_Score:Undiff,Cheng_2019_Score:Adipo,Cheng_2019_Score:Myo,#ProteomePapers,HPA,HPA_reliability,HPA_loc,Results,Uniprot_NEorER,Uniprot_subcell
0,Q92604,LPGAT1 FAM34A KIAA0205,1.0,1.0,1.0,1.0,0.17,0.0,0.0,0.0,0.0,4.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q92604', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '15485873'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '15485873'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",1.0,Endoplasmic reticulum membrane
1,Q9Y3T9,NOC2L NIR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,Validated,Nucleoli: Validated,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9Y3T9', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Translocates from the nucleoli to the nucleoplasm in presence of several stressors like ultraviolet irradiation and actinomycin-D. Predominantly detected in the nucleoli in non-mitotic cells. Predominantly detected in nucleoplasma in cells undergoing mitosis'}]}, 'subcellularLocations': [{'location': {'value': 'Nucleus, nucleoplasm', 'id': 'SL-0190'}}, {'location': {'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}]}]}",0.0,"Nucleus, nucleoplasm, Nucleus, nucleolus"
2,Q8NBX0,SCCPDH CGI-49,1.0,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,4.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8NBX0', 'comments': []}",0.0,
4,Q5VTL8,PRPF38B,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q5VTL8', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Nucleus', 'id': 'SL-0191'}}]}]}",0.0,Nucleus
5,Q9BTX1,NDC1 TMEM48,1.0,1.0,1.0,1.0,inf,1.0,0.6741219781349772,0.7408157810700401,0.8967187880184209,5.0,1,Supported,Nuclear membrane: Supported;Actin filaments: Uncertain;Plasma membrane: Approved,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9BTX1', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Central core structure of the nuclear pore complex'}]}, 'subcellularLocations': [{'location': {'value': 'Nucleus, nuclear pore complex', 'id': 'SL-0185'}}, {'location': {'value': 'Nucleus membrane', 'id': 'SL-0182'}, 'topology': {'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,"Nucleus, nuclear pore complex, Nucleus membrane"
6,Q8NFQ8,TOR1AIP2 IFRG15 LULL1,1.0,1.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,3.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8NFQ8', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'value': 'Nucleus membrane', 'id': 'SL-0182'}}]}]}",0.0,"Endoplasmic reticulum membrane, Nucleus membrane"
7,Q9NXE4,SMPD4 KIAA1418 SKNY,1.0,1.0,1.0,1.0,105.61,1.0,0.93269966220108,0.8952355166637649,0.9834446545575042,5.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9NXE4', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16517606'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '18505924'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31495489'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000255'}], 'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16517606'}], 'value': 'Golgi apparatus membrane', 'id': 'SL-0134'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000255'}], 'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31495489'}], 'value': 'Nucleus envelope', 'id': 'SL-0178'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000250', 'source': 'UniProtKB', 'id': 'Q6ZPR5'}], 'value': 'Cell membrane, sarcolemma', 'id': 'SL-0238'}}]}]}",1.0,"Endoplasmic reticulum membrane, Golgi apparatus membrane, Nucleus envelope, Cell membrane, sarcolemma"
8,A0AV96,RBM47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,Supported,Nucleoplasm: Supported;Cytosol: Supported,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'A0AV96', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24038582'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24916387'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24916387'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}]}]}",0.0,"Nucleus, Cytoplasm"
9,Q7LBC6,KDM3B C5orf7 JHDM2B JMJD1B KIAA1082,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,Validated,Nucleoplasm: Validated,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q7LBC6', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Nucleus', 'id': 'SL-0191'}}]}]}",0.0,Nucleus
10,Q9NUU6,OTULINL FAM105A,1.0,1.0,0.0,1.0,inf,0.0,0.0,0.0,0.0,3.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9NUU6', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31056421'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31056421'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31056421'}], 'value': 'Peripheral membrane protein', 'id': 'SL-9903'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31056421'}], 'value': 'Nucleus envelope', 'id': 'SL-0178'}}]}]}",1.0,"Cytoplasm, Endoplasmic reticulum membrane, Nucleus envelope"
